Year,MeanAnnualRunoff,SpringMaxRunoff,SummerMinRunoff,WinterMinRunoff
1960,11.52,47.3,3.07,0.79
1961,18.72,39.06,2.84,1.01
1962,11.44,51.23,4.01,0.9
1963,11.28,45.8,2.8,1.32
1964,7.89,53.0,2.67,0.85
1965,19.87,96.0,9.3,1.1
1966,17.77,96.8,5.47,1.1
1967,4.07,21.5,2.08,0.7
1968,5.44,24.6,3.2,0.4
1969,10.43,48.2,8.01,0.39
1970,17.22,51.4,4.06,1.3
1971,17.22,54.6,8.34,0.96
1972,17.03,86.0,5.9,0.4
1973,18.78,74.5,6.66,0.76
1974,20.43,110.0,4.08,0.58
1975,4.06,29.2,1.05,0.66
1976,6.68,49.3,4.03,1.05
1977,9.08,56.8,6.2,0.96
1978,11.84,63.2,5.82,0.74
1979,49.67,64.5,3.76,0.78
1980,30.94,77.6,5.74,1.2
1981,20.2,73.9,3.63,1.04
1982,10.43,60.2,1.96,0.84
1983,18.85,81.4,2.8,0.67
1984,8.96,93.6,5.36,0.94
1985,4.92,106.8,7.09,1.03
1986,31.82,85.6,5.4,1.12
1987,22.05,70.0,4.68,1.01
1988,7.18,58.9,4.25,0.92
1989,10.73,63.1,5.4,0.9
1990,14.12,60.5,4.01,0.78
1991,14.61,49.8,3.97,1.3
1992,15.96,54.6,5.2,1.24
1993,22.94,70.3,6.12,1.28
1994,20.27,64.7,5.46,1.05
1995,22.3,52.06,4.23,1.03
1996,20.96,38.95,2.86,0.85
1997,20.51,42.6,3.5,0.79
1998,29.25,47.3,4.31,0.83
1999,35.25,45.5,4.8,0.59
2000,23.21,43.8,4.5,0.63
2008,7.72,41.2,3.06,0.86
2009,6.6,21.1,3.67,0.97
2010,7.29,46.2,1.76,0.58
2011,9.55,53.2,4.76,0.72
2012,10.89,71.1,1.28,0.53
2013,16.95,105.0,2.56,0.88
2014,16.77,107.0,3.58,0.94
2015,23.36,119.0,3.6,3.12
2016,23.52,111.0,6.6,2.11
